(0.91, 1.32, 0.67)
(0.88, 0.19, -0.2)
(0.42, 0.33, 0.5)
(0.72, 0.72, 0.08)
(0.3, 0.06, -0.26)
(0.38, 0.07, -0.34)
(0.6, 0.26, -0.49)
(0.35000000000000003, 0.11, -0.62)
(0.2, 0.0, -0.18)
(0.1, -0.05, -0.21)
(0.02, 0.24, -0.33)
(0.03, 0.05, -0.42)
(0.01, 0.0, -0.2)
(0.06, 0.2, -0.17)
(-0.02, 0.11, -0.49)
(-0.02, 0.05, -0.51)
(0.05, -0.02, -0.5700000000000001)
(0.05, -0.03, -0.15)
(0.03, 0.06, -0.17)
(0.02, 0.16, -0.47000000000000003)
(0.0, 0.16, -0.64)
(-0.01, 0.11, -0.53)
(0.02, 0.08, -0.51)
(0.03, 0.11, -0.45)
(0.03, 0.11, 0.09)
(0.05, 0.09, -0.37)
(-0.01, 0.01, -0.31)
(0.0, 0.04, -0.64)
(0.02, 0.06, -0.7000000000000001)
(0.01, 0.11, -0.55)
(0.0, 0.12, -0.35000000000000003)
(0.0, 0.0, -0.08)
(0.08, 0.03, -0.16)
(0.01, 0.04, -0.02)
(0.01, 0.01, -0.32)
(0.07, 0.1, -0.53)
(0.02, 0.09, -0.14)
(-0.01, 0.05, -0.16)
(0.03, 0.09, -0.41000000000000003)
(-0.01, 0.07, -0.42)
(0.01, 0.11, -0.23)
(0.06, 0.11, -0.35000000000000003)
(0.0, -0.04, -0.3)
(0.01, 0.04, -0.29)
(-0.07, 0.0, -0.26)
(-0.03, 0.05, -0.6900000000000001)
(0.59, 0.03, -0.45)
(1.26, 0.23, -0.2)
(1.73, -0.23, 0.79)
(2.05, 0.46, -0.36)
(1.47, 0.23, -1.61)
(-0.08, 0.04, -1.61)
(-1.12, 0.26, 0.4)
(-1.3800000000000001, 0.33, 1.03)
(-2.11, -0.03, 0.29)
(-2.0, 0.04, -0.63)
(-1.27, -1.04, 0.26)
(-0.4, -1.76, 0.02)
(-0.36, -2.16, 0.12)
(-0.44, -1.3800000000000001, 1.12)
(-0.53, -1.56, -0.24)
(-0.38, 0.04, -2.5)
(-0.06, 1.67, -2.08)
(-0.11, 1.81, -0.55)
(0.05, 2.09, -0.21)
(0.34, 1.92, 0.04)
(0.05, 2.21, 0.37)
(-0.09, 2.22, -0.44)
(0.01, 1.8900000000000001, -0.16)
(-0.21, 0.65, -0.37)
(-0.41000000000000003, -1.3900000000000001, -0.61)
(-0.73, -2.22, 0.0)
(-1.18, -2.42, 0.53)
(-1.53, -1.83, -0.53)
(-1.43, -1.52, -0.45)
(-0.96, -1.19, -1.22)
(-0.06, 0.48, -1.87)
(0.9, 0.4, -0.64)
(0.98, -1.6400000000000001, -0.23)
(0.73, -2.57, 0.02)
(0.75, -2.9, 0.27)
(0.22, -1.44, 0.32)
(-0.5700000000000001, -1.03, -0.41000000000000003)
(-0.65, 0.93, -0.71)
(-0.5, 2.25, -0.54)
(-0.22, 2.66, 0.22)
(-0.24, 2.87, -0.47000000000000003)
(0.12, 2.7800000000000002, -0.75)
(-0.09, 1.79, 0.31)
(-0.31, 1.75, 0.33)
(-0.37, -0.48, -0.78)
(-0.54, -2.13, 0.46)
(-0.67, -2.7600000000000002, 0.84)
(-1.17, -2.34, -0.25)
(-1.52, -1.49, -0.55)
(-1.6600000000000001, -1.49, -0.31)
(-0.9400000000000001, -1.19, 0.23)
(-0.6900000000000001, -0.22, -1.24)
(0.8200000000000001, -0.44, 0.1)
(0.8, -0.3, -1.03)
(1.1500000000000001, -0.33, -0.59)
(0.9500000000000001, -0.42, -0.03)
(0.3, 0.01, 0.97)
(-0.15, -0.62, 0.49)
(-0.11, -0.78, 0.79)
(-0.12, -0.51, 0.19)
(-0.11, -0.43, -0.19)
(-0.13, -0.38, -0.7000000000000001)
(-0.14, -0.46, -0.39)
(-0.16, -0.53, -0.37)
(-0.08, -0.56, -0.42)
(-0.2, -0.4, 0.1)
(-0.13, -0.37, -0.79)
(-0.25, -0.45, -0.77)
(-0.01, -0.42, -0.36)
(0.76, -0.09, -0.1)
(1.74, 0.01, 0.25)
(2.3000000000000003, -0.79, -0.13)
(2.05, -0.74, 0.66)
(0.59, -0.52, 0.56)
(-0.59, -0.53, -1.53)
(-2.15, -0.63, -1.0)
(-2.92, -0.42, 0.5)
(-2.9, -0.53, -0.7000000000000001)
(-3.18, -0.58, -0.26)
(-2.96, -0.77, -1.17)
(-2.15, 0.59, 0.81)
(-0.46, 0.97, 1.1400000000000001)
(0.4, 0.4, -0.19)
(2.0100000000000002, -1.05, 0.59)
(1.87, 0.11, 1.62)
(1.79, -1.37, 0.62)
(1.09, -3.24, -0.62)
(0.72, -3.5, -0.35000000000000003)
(0.25, -2.9, -0.8200000000000001)
(0.16, -0.79, 0.1)
(-0.2, 0.53, -0.62)
(-0.39, 1.72, -1.62)
(0.01, 1.83, 0.54)
(-0.35000000000000003, 1.8900000000000001, -0.71)
(-0.14, 2.36, -1.37)
(-0.1, 1.52, -0.8)
(0.08, 1.48, 0.39)
(-0.23, 1.84, -0.8)
(-0.01, 1.26, -0.96)
(-0.23, 0.4, 1.1300000000000001)
(-0.3, -0.72, 1.42)
(-0.34, -1.31, -0.92)
(0.1, -2.59, -0.51)
(0.07, -1.71, -0.38)
(0.22, -1.08, -0.43)
(0.08, -0.47000000000000003, 0.29)
(0.02, -0.24, 0.01)
(0.1, -0.16, -0.17)
(0.0, -0.21, -0.39)
(0.07, -0.35000000000000003, -0.35000000000000003)
(0.0, -0.26, -0.4)
(0.0, -0.26, -0.14)
(0.07, -0.33, -0.79)
(-0.07, -0.22, -0.27)
(0.06, -0.22, -0.04)
(0.06, -0.21, -0.42)
(-0.06, -0.1, -0.14)
(-0.21, 0.04, 0.02)
(-0.01, 0.05, -0.34)
(0.42, -0.59, -0.61)
(1.23, -1.3800000000000001, -0.8200000000000001)
(1.83, -2.18, 0.6900000000000001)
(2.08, -1.78, 1.95)
(1.84, -0.73, 1.27)
(0.37, 0.8, 1.22)
(-0.74, 0.89, -1.1300000000000001)
(-1.8, 0.75, -1.22)
(-2.43, 1.17, -0.99)
(-2.6, -0.01, -1.08)
(-2.7, -0.35000000000000003, -0.4)
(-1.9000000000000001, -1.9100000000000001, -0.9)
(-2.02, -1.1, -0.6)
(-0.63, -0.88, 0.32)
(0.22, 0.07, -0.33)
(0.38, 1.48, -0.21)
(1.53, 1.84, -0.03)
(1.83, 1.74, -0.23)
(2.39, 1.45, 0.66)
(2.32, 1.3, 0.53)
(1.77, 1.28, 0.97)
(1.42, 0.1, 0.27)
(0.22, 0.14, 0.05)
(-0.79, -0.86, -0.74)
(-2.47, -1.41, -0.64)
(-2.42, -0.34, -0.44)
(-1.37, 1.04, -0.13)
(-0.44, 1.31, -1.93)
(-0.15, 1.24, -1.0)
(0.2, 0.36, -0.67)
(0.38, -0.79, 0.32)
(-0.02, -1.2, -0.24)
(-0.81, -1.36, 1.01)
(-1.09, -0.74, -0.48)
(-1.1400000000000001, -0.62, -0.6)
(-1.36, 0.52, 0.09)
(-0.55, -0.06, -1.1500000000000001)
(-0.03, -0.12, -0.8)
(0.2, -0.54, 0.45)
(0.72, -0.9400000000000001, 0.55)
(1.09, -1.36, -1.05)
(1.01, -0.73, 0.2)
(0.48, -0.48, 0.8300000000000001)
(-0.05, 0.04, -0.5)
(-0.17, 0.04, -0.39)
(-0.04, -0.18, -0.58)
(-0.04, -0.17, -0.34)
(-0.12, 0.03, -0.63)
(-0.07, -0.14, -0.44)
(0.04, 0.0, -0.34)
(-0.14, -0.13, -0.27)
(0.01, -0.01, -0.35000000000000003)
(0.0, -0.06, -0.29)
(-0.01, -0.22, -0.4)
(0.01, -0.11, -0.28)
(0.09, 0.19, -0.6900000000000001)
(0.08, 0.63, -0.5)
(0.35000000000000003, 1.1400000000000001, -0.81)
(0.48, 1.16, -0.4)
(0.78, 0.74, 0.22)
(1.36, -0.87, 1.74)
(1.53, -1.6400000000000001, 1.23)
